order_id,customer_id,order_date,status,amount,customer_country,customer_signup_date
1,1,2024-01-05,completed,120.5,USA,2023-01-15
2,1,2024-02-10,completed,89.99,USA,2023-01-15
3,2,2024-01-15,Completed,250.0,US,2023-02-20
4,2,2024-03-01,pending,45.0,US,2023-02-20
5,3,2024-02-20,completed,,United States,2023-02-28
5,3,2024-02-20,completed,,United States,2023-02-28
6,4,2024-02-25,cancelled,75.2,Belgium,2023-03-10
7,5,2024-03-05,completed,310.0,BE,2023-03-15
8,6,2024-03-12,refunded,-50.0,Belgium,2023-04-01
9,7,2024-03-18,completed,99.99,Netherlands,2023-04-12
10,8,2024-04-01,completed,150.0,NL,2023-05-05
11,9,2024-04-07,CANCELLED,200.0,France,2023-05-19
12,10,2024-04-15,completed,999999.0,FR,2023-06-02
13,11,2024-04-22,pending,60.0,Germany,2023-06-15
14,12,2024-05-01,completed,420.75,DE,2023-07-01
15,13,2024-05-09,completed,,USA,2023-07-20
16,14,2024-05-15,completed,180.0,United States,2023-08-11
17,15,2024-05-21,refunded,95.0,us,2023-08-29
18,16,2024-06-02,completed,130.5,Spain,2023-09-14
19,17,2024-06-10,completed,275.25,ES,2023-09-30
20,18,2024-06-18,pending,,Belgium,2023-10-10
21,19,2024-06-25,completed,88.0,Belgium,2099-12-31
22,20,2024-07-01,completed,145.0,,2023-11-05
23,21,2024-07-09,cancelled,52.0,Netherlands,2023-11-22
24,22,2024-07-15,completed,199.99,France,2023-12-01
25,23,2024-07-22,completed,310.0,Germany,2023-12-18
26,1,2024-08-01,completed,67.5,USA,2023-01-15
27,2,2024-08-08,completed,123.45,US,2023-02-20
28,3,2024-08-14,Completed,89.0,United States,2023-02-28
28,3,2024-08-14,Completed,89.0,United States,2023-02-28
29,4,2024-08-20,pending,210.0,Belgium,2023-03-10
30,5,2024-08-28,completed,55.0,BE,2023-03-15
31,6,2024-09-03,completed,340.0,Belgium,2023-04-01
32,7,2024-09-10,refunded,120.0,Netherlands,2023-04-12
33,8,2024-09-17,completed,,NL,2023-05-05
34,9,2024-09-24,completed,99.0,France,2023-05-19
35,10,2024-10-01,completed,450.0,FR,2023-06-02
36,11,2024-10-08,CANCELLED,30.0,Germany,2023-06-15
37,12,2024-10-15,completed,160.0,DE,2023-07-01
38,13,2024-10-22,completed,205.5,USA,2023-07-20
39,14,2024-11-01,pending,78.0,United States,2023-08-11
40,15,2024-11-09,completed,135.0,us,2023-08-29
41,16,2024-11-16,completed,290.0,Spain,2023-09-14
42,17,2024-11-23,completed,64.99,ES,2023-09-30
43,18,2024-12-01,completed,175.0,Belgium,2023-10-10
44,999,2024-12-05,completed,80.0,,
45,20,2024-12-12,completed,112.0,,2023-11-05
46,21,2099-01-01,completed,140.0,Netherlands,2023-11-22
47,22,2024-12-20,refunded,90.0,France,2023-12-01
48,23,2024-12-27,completed,260.0,Germany,2023-12-18
49,1,2024-12-28,completed,,USA,2023-01-15
50,2,2024-12-29,completed,75.0,US,2023-02-20
50,2,2024-12-29,completed,75.0,US,2023-02-20
