order_id,customer_id,order_date,status,amount
1,1,2024-01-05,completed,120.50
2,1,2024-02-10,completed,89.99
3,2,2024-01-15,Completed,250.00
4,2,2024-03-01,pending,45.00
5,3,2024-02-20,completed,
6,4,2024-02-25,cancelled,75.20
7,5,2024-03-05,completed,310.00
8,6,2024-03-12,refunded,-50.00
9,7,2024-03-18,completed,99.99
10,8,2024-04-01,completed,150.00
11,9,2024-04-07,CANCELLED,200.00
12,10,2024-04-15,completed,999999
13,11,2024-04-22,pending,60.00
14,12,2024-05-01,completed,420.75
15,13,2024-05-09,completed,
16,14,2024-05-15,completed,180.00
17,15,2024-05-21,refunded,95.00
18,16,2024-06-02,completed,130.50
19,17,2024-06-10,completed,275.25
20,18,2024-06-18,pending,
21,19,2024-06-25,completed,88.00
22,20,2024-07-01,completed,145.00
23,21,2024-07-09,cancelled,52.00
24,22,2024-07-15,completed,199.99
25,23,2024-07-22,completed,310.00
26,1,2024-08-01,completed,67.50
27,2,2024-08-08,completed,123.45
28,3,2024-08-14,Completed,89.00
29,4,2024-08-20,pending,210.00
30,5,2024-08-28,completed,55.00
31,6,2024-09-03,completed,340.00
32,7,2024-09-10,refunded,120.00
33,8,2024-09-17,completed,
34,9,2024-09-24,completed,99.00
35,10,2024-10-01,completed,450.00
36,11,2024-10-08,CANCELLED,30.00
37,12,2024-10-15,completed,160.00
38,13,2024-10-22,completed,205.50
39,14,2024-11-01,pending,78.00
40,15,2024-11-09,completed,135.00
41,16,2024-11-16,completed,290.00
42,17,2024-11-23,completed,64.99
43,18,2024-12-01,completed,175.00
44,999,2024-12-05,completed,80.00
45,20,2024-12-12,completed,112.00
46,21,2099-01-01,completed,140.00
47,22,2024-12-20,refunded,90.00
48,23,2024-12-27,completed,260.00
49,1,2024-12-28,completed,
50,2,2024-12-29,completed,75.00
50,2,2024-12-29,completed,75.00
